,0
0,0.9106924821210535
1,0.477088948787062
2,0.7224489795918367
3,0.5746753246753247
4,0.2158597938830985
5,0.9428315599744173
6,0.6046511627906976
7,0.7428571428571429
8,0.6666666666666666
9,0.261952563369982
10,0.9693354264782836
11,0.0
12,0.0
13,
14,0.8903559415022746
