iter	Passed	Remaining
0	9	189
1	19	175
2	28	163
3	37	148
4	46	139
5	54	127
6	63	118
7	71	107
8	81	99
9	89	89
10	98	80
11	106	71
12	116	62
13	124	53
14	134	44
15	142	35
16	151	26
17	160	17
18	168	8
19	178	0
